word,pos,freq_rank,source_tag,sense_order,meaning,register
advocate,verb,,manual,1,옹호하다,
advocate,verb,,manual,2,지지하다,
advocate,verb,,manual,3,변호하다,
advocate,noun,,manual,1,옹호자,
advocate,noun,,manual,2,지지자,
advocate,noun,,manual,3,변호사,
contemplate,verb,,manual,1,숙고하다,
contemplate,verb,,manual,2,고려하다,
contemplate,verb,,manual,3,곰곰이 생각하다,
criticize,verb,,manual,1,비판하다,
criticize,verb,,manual,2,비난하다,
criticize,verb,,manual,3,혹평하다,
endeavor,verb,,manual,1,노력하다,
endeavor,verb,,manual,2,애쓰다,
endeavor,noun,,manual,1,노력,
endeavor,noun,,manual,2,시도,
incorporate,verb,,manual,1,포함하다,
incorporate,verb,,manual,2,통합하다,
incorporate,verb,,manual,3,합병하다,
skeptical,adjective,,manual,1,회의적인,
skeptical,adjective,,manual,2,의심하는,
